CUSTOM_NODE,YEAR,VALUE
AGOXX,2021,52.119
AGOXX,2022,61.95010676
AGOXX,2023,66.69163593
AGOXX,2024,69.28
AGOXX,2025,77.2428439
AGOXX,2026,83.02486817
AGOXX,2027,89.22978158
AGOXX,2028,95.88905848
AGOXX,2029,103.0364318
AGOXX,2030,110.7080713
AGOXX,2031,122.6647291
AGOXX,2032,135.4911507
AGOXX,2033,149.2758505
AGOXX,2034,164.1116972
AGOXX,2035,163.1094384
AGOXX,2036,176.3200767
AGOXX,2037,190.5995628
AGOXX,2038,206.0343955
AGOXX,2039,222.7179975
AGOXX,2040,240.751373
AGOXX,2041,256.2317954
AGOXX,2042,272.7050833
AGOXX,2043,290.2349729
AGOXX,2044,308.8892656
AGOXX,2045,328.7401009
AGOXX,2046,349.8278259
AGOXX,2047,372.2686263
AGOXX,2048,396.149345
AGOXX,2049,421.5623764
AGOXX,2050,448.6061379